name,surname,email,password
,jan,graspy@gmail.ru,wer5Q
 ,jan,graspy@gmail.ru,wer5Q
  ,jan,graspy@gmail.ru,wer5Q
123456789,jan,graspy@gmail.ru,wer5Q
!#$%&'*+-/=?^_`{|}~,jan,graspy@gmail.ru,wer5Q
ya,jan,graspy@gmail.ru,wer5Q
qwqtweyruityopiiiiiiiiiiiuuuuuuuuuuuuuuuuuuuuuuuuuyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyiiiiiiiiiiiiiiiiiiiiiiiisssssssssssssddddddddddddddddffffffffffffffffffhhhhhhhhhhhhhhhhhhggggggggggggggggggggjjjjjjjjjjjjjjjjjjjjjjjjjjjbbbbbbbbbbbbbbbbbbbbrrrrrrrrrrrrrrr,jan,graspy@gmail.ru,wer5Q
  Grady,jan,graspy@gmail.ru,wer5Q
Grady  ,jan,graspy@gmail.ru,wer5Q
Петр,jan,graspy@gmail.ru,wer5Q
Robert'), DROP TABLE Students,--,jan,graspy@gmail.ru,wer5Q
<script>alert('Executing JS')</script>,jan,graspy@gmail.ru,wer5Q
-prompt()-',jan,graspy@gmail.ru,wer5Q
<blink>Hello there</blink>,jan,graspy@gmail.ru,wer5Q
yang,123456789,graspy@gmail.ru,wer5Q
yang,!#$%&'*+-/=?^_`{|}~,graspy@gmail.ru,wer5Q
yang,ya,graspy@gmail.ru,wer5Q
yang,qwqtweyruityopiiiiiiiiiiiuuuuuuuuuuuuuuuuuuuuuuuuuyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyiiiiiiiiiiiiiiiiiiiiiiiisssssssssssssddddddddddddddddffffffffffffffffffhhhhhhhhhhhhhhhhhhggggggggggggggggggggjjjjjjjjjjjjjjjjjjjjjjjjjjjbbbbbbbbbbbbbbbbbbbbrrrrrrrrrrrrrrr,graspy@gmail.ru,wer5Q
yang,,graspy@gmail.ru,wer5Q
yang, ,graspy@gmail.ru,wer5Q
yang,  ,graspy@gmail.ru,wer5Q
yang,  Grady,graspy@gmail.ru,wer5Q
yang,Grady  ,graspy@gmail.ru,wer5Q
yang,Петр,graspy@gmail.ru,wer5Q
yang,""Robert'), DROP TABLE Students,--"",graspy@gmail.ru,wer5Q"
yang,<script>alert('Executing JS')</script>,graspy@gmail.ru,wer5Q
yang,-prompt()-',graspy@gmail.ru,wer5Q
yang,<blink>Hello there</blink>,graspy@gmail.ru,wer5Q
yang,JERREMY,plainaddress,wer5Q
yang,JERREMY,,wer5Q
yang,JERREMY,#@%^%#$@#$@#.com,wer5Q
yang,JERREMY,.email@domain.com,wer5Q
yang,JERREMY,email.@domain.com,wer5Q
yang,JERREMY,email..email@domain.com,wer5Q
yang,JERREMY,?????@domain.com,wer5Q
yang,JERREMY,email@-domain.com,wer5Q
yang,JERREMY,email@.domain.com,wer5Q
yang,JERREMY,email@111.222.333.44444,wer5Q
yang,JERREMY,email@domain..com,wer5Q
yang,JERREMY,qwertyuioplkjhgfdsxcvbnmwrpjgaoigharihgprehgioherettuyhtdlgfdkgfi@domain.com,wer5Q
yang,JERREMY,bush@qwqtweyruityopiiiiiiiiiiiuuuuuuuuuuuuuuuuuuuuuuuuuyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyiiiiiiiiiiiiiiiiiiiiiiiisssssssssssssddddddddddddddddffffffffffffffffffhhhhhhhhhhhhhhhhhhggggggggggggggggggggjjjjjjjjjjjjjjjjjjjjjjjjjjjbbbbbbbbbbbbbbbbbbbbrrrrrrrrrrrrrrr.com,wer5Q
yang,JERREMY,GRASPY@GMAIL.RU,
yang,JERREMY,GRASPY@GMAIL.RU,we5Q
yang,JERREMY,GRASPY@GMAIL.RU,qwertyuiopasdfghjklzxcw5Ww
